LOCATION,ADDRESS,CITY,ZIP,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,YTD
NORTH PULASKI,6435 N. California Avenue,CHICAGO,60639,994,,,,,,,,,,,,994
NORTHTOWN,7454 W. Balmoral Avenue,CHICAGO,60645,1,,,,,,,,,,,,1
ORIOLE PARK,5108 W. Belmont Avenue,CHICAGO,60656,685,,,,,,,,,,,,685
PORTAGE-CRAGIN,11001 S. Indiana Avenue,CHICAGO,60641,1338,,,,,,,,,,,,1338
PULLMAN,6083 N. Northwest Highway,CHICAGO,60628,1360,,,,,,,,,,,,1360
RODEN,6907 N. Clark Street,CHICAGO,60631,1033,,,,,,,,,,,,1033
ROGERS PARK,1101 W. Taylor Street,CHICAGO,60626,2418,,,,,,,,,,,,2418
SCOTTSDALE,4101 W. 79th Street,CHICAGO,60652,875,,,,,,,,,,,,875
SHERMAN PARK,5440 S. Racine Avenue,CHICAGO,60609,861,,,,,,,,,,,,861
SOUTH CHICAGO,9055 S. Houston Avenue,CHICAGO,60617,1696,,,,,,,,,,,,1696
SOUTH SHORE,2505 E. 73rd Street,CHICAGO,60649,2106,,,,,,,,,,,,2106
SULZER REGIONAL,4455 N. Lincoln Avenue,CHICAGO,60625,5925,,,,,,,,,,,,5925
TOMAN,2708 S. Pulaski Road,CHICAGO,60623,1627,,,,,,,,,,,,1627
UPTOWN,929 W. Buena Avenue,CHICAGO,60613,864,,,,,,,,,,,,864
VODAK-EAST SIDE,3710 E. 106th Street,CHICAGO,60617,1082,,,,,,,,,,,,1082
WALKER,11071 S. Hoyne Avenue,CHICAGO,60643,489,,,,,,,,,,,,489
WATER WORKS,163 E. Pearson Street,CHICAGO,60611,316,,,,,,,,,,,,316
WEST BELMONT,3104 N. Narragansett Avenue,CHICAGO,60634,377,,,,,,,,,,,,377
WEST CHICAGO AVENUE,4856 W. Chicago Avenue,CHICAGO,60651,1950,,,,,,,,,,,,1950
WEST ENGLEWOOD,1745 W. 63rd Street,CHICAGO,60636,1872,,,,,,,,,,,,1872
WEST LAWN,4020 W. 63rd Street,CHICAGO,60629,1207,,,,,,,,,,,,1207
WEST LOOP,122 N. Aberdeen Street,CHICAGO,60607,172,,,,,,,,,,,,172
WEST PULLMAN,830 W. 119th Street,CHICAGO,60643,2193,,,,,,,,,,,,2193
WEST TOWN,1625 W. Chicago Avenue,CHICAGO,60622,998,,,,,,,,,,,,998
"WHITNEY M. YOUNG, JR",7901 S. King Drive,CHICAGO,60619,811,,,,,,,,,,,,811
WOODSON REGIONAL,9525 S. Halsted Street,CHICAGO,60628,6581,,,,,,,,,,,,6581
WRIGHTWOOD-ASHBURN,8530 S. Kedzie Avenue,CHICAGO,60652,1047,,,,,,,,,,,,1047
